Time Difference,User
0 days 00:00:45.000000000,hasnopants
0 days 00:02:46.000000000,AmericasInPeril
0 days 00:03:24.000000000,MatrixJacker
0 days 00:03:59.000000000,damonbrown827
0 days 00:06:39.000000000,FridgeVice
0 days 00:06:44.000000000,qt4shrt
0 days 00:07:18.000000000,dek6media
0 days 00:08:03.000000000,thatgirlsandra5
0 days 00:08:04.000000000,GStashko
0 days 00:08:52.000000000,GLENCOLLINS_
0 days 00:09:27.000000000,JerrodRenner
0 days 00:12:17.000000000,Mcrick03
0 days 00:14:55.000000000,DMHord1
0 days 00:14:58.000000000,MatthewJinx
0 days 00:16:03.000000000,EdithConkey
0 days 00:16:23.000000000,chucknelson1969
0 days 00:16:27.000000000,MitraBasaula
0 days 00:17:38.000000000,letradoarmando1
0 days 00:18:34.000000000,JLLammy
0 days 00:18:44.000000000,Lyle_Willis
0 days 00:20:39.000000000,lobecohmngbird
0 days 00:24:50.000000000,lancasterwhims
0 days 00:25:48.000000000,ElectionDayPoll
0 days 00:26:15.000000000,tzanneng
0 days 00:29:46.000000000,iKneelForNoMan
0 days 00:32:40.000000000,pinksugar61
0 days 00:33:51.000000000,jacksonpeters05
0 days 00:34:30.000000000,roddy202620
0 days 00:35:26.000000000,Yanktanker1
0 days 00:36:11.000000000,vesterrrr
0 days 00:36:52.000000000,Glory_Patriot
0 days 00:37:47.000000000,BrookNatalie10
0 days 00:37:55.000000000,zghzgly
0 days 00:38:24.000000000,dave_deplorable
0 days 00:39:53.000000000,_ShonkJ
0 days 00:41:49.000000000,lisainco
0 days 00:42:22.000000000,Murlgirl1
0 days 00:44:07.000000000,elaine_lazenby
0 days 00:44:10.000000000,exitandobserve
0 days 00:44:46.000000000,NLTCNY
0 days 00:44:47.000000000,IndigoJewelry
0 days 00:46:55.000000000,JerryNi84431179
0 days 00:47:39.000000000,workingwoman911
0 days 00:49:09.000000000,mamoobonnie
0 days 00:49:50.000000000,CaballeroOHara
0 days 00:50:45.000000000,VintechG
0 days 00:51:35.000000000,ElizabethVlaho1
0 days 00:51:47.000000000,donnalea1788
0 days 00:52:19.000000000,KroekerTony
0 days 00:53:00.000000000,CharliSixx
0 days 00:54:17.000000000,Mike_Sand_Man
0 days 00:57:47.000000000,DoreenParrish
0 days 00:58:33.000000000,ALobo2372
0 days 00:58:35.000000000,edinatoz
0 days 01:01:23.000000000,SteveC_USA
0 days 01:05:52.000000000,antonimorodrigo
0 days 01:08:15.000000000,BertiniJohn
0 days 01:08:34.000000000,Daisies55
0 days 01:10:39.000000000,burk9
0 days 01:10:47.000000000,JamesGreenBayWI
0 days 01:11:54.000000000,debbi139
0 days 01:13:00.000000000,Cate66
0 days 01:13:30.000000000,Wondering_Muse
0 days 01:15:16.000000000,MelanieKReese
0 days 01:15:35.000000000,ReneeCarrollPhx
0 days 01:16:44.000000000,NBCNightlyLies
0 days 01:17:04.000000000,chally1946
0 days 01:21:06.000000000,JanLaduron
0 days 01:22:38.000000000,Pitako1340
0 days 01:23:54.000000000,ladydwall
0 days 01:24:49.000000000,Jeffsright
0 days 01:30:33.000000000,martinmarcus21
0 days 01:34:29.000000000,zabeyou
0 days 01:37:52.000000000,myworkshop
0 days 01:40:06.000000000,GrammerSherry
0 days 01:40:57.000000000,ArlTratlo
0 days 01:42:02.000000000,MrsWunami
0 days 01:47:10.000000000,Grandtheauto4
0 days 01:47:12.000000000,Grandtheauto4
0 days 01:49:11.000000000,lulujoy6101
0 days 01:51:31.000000000,badtweetbot
0 days 01:52:05.000000000,lmaxir1
0 days 01:52:07.000000000,WashAmeriCom
0 days 01:53:14.000000000,MichaelSartorSr
0 days 01:54:22.000000000,deannaguillory
0 days 01:55:03.000000000,avalanch_brkdwn
0 days 01:57:36.000000000,goodinplenty1
0 days 01:58:30.000000000,Claudia4Trump
0 days 01:58:34.000000000,tnted96
0 days 01:58:50.000000000,tigerandbuck
0 days 02:00:28.000000000,LeeksM
0 days 02:01:08.000000000,jcpeanut2345
0 days 02:01:53.000000000,kthawkins8
0 days 02:03:45.000000000,TreaureHunters
0 days 02:08:15.000000000,EastYorksTroop
0 days 02:09:00.000000000,mungamLI
0 days 02:09:11.000000000,ramke28
0 days 02:11:03.000000000,NanaOxford
0 days 02:13:37.000000000,AgentDeplorable
0 days 02:15:56.000000000,trumpwins2
0 days 02:26:33.000000000,alcarlos13
0 days 02:27:45.000000000,luka_light
0 days 02:31:20.000000000,solmartpropert1
0 days 02:34:33.000000000,Josephjmontele2
0 days 03:02:09.000000000,caden807
0 days 03:09:42.000000000,717ontheprairie
0 days 03:13:24.000000000,clintonchineduc
0 days 03:24:15.000000000,astanad
0 days 03:25:21.000000000,tmguadagno
0 days 03:27:32.000000000,pello4497
0 days 03:28:12.000000000,elaniecardenas
0 days 03:34:15.000000000,Johnoha02978265
0 days 03:41:25.000000000,kagu19
0 days 03:54:48.000000000,wrs1260
0 days 04:22:55.000000000,JJGERL
0 days 04:40:15.000000000,JulieEveretts
0 days 04:54:14.000000000,KatherineWolfr2
0 days 04:54:27.000000000,onecrzygirl
0 days 05:06:22.000000000,m_frushour
0 days 05:12:31.000000000,JoyfulAmbitions
0 days 06:04:56.000000000,SkinnyScents
0 days 06:26:05.000000000,Jeffrey74749980
0 days 07:38:24.000000000,JeffTwinsFan
0 days 07:57:18.000000000,LA_JuneX
0 days 08:18:47.000000000,babyjacksmom09
0 days 08:33:12.000000000,jhorne24746260
0 days 09:20:11.000000000,604_9705
0 days 09:25:27.000000000,CHRISTINA2A12
0 days 09:28:26.000000000,beldandolo
0 days 01:49:18.000000000,LyleVernon
0 days 01:56:04.000000000,stivbator1
0 days 02:00:40.000000000,andrewmpro
0 days 03:24:22.000000000,mamoobonnie
0 days 03:52:15.000000000,avalanch_brkdwn
0 days 04:48:56.000000000,Augustus1683AD
0 days 00:00:51.000000000,ailuy7
0 days 00:08:39.000000000,djcoryminto
0 days 00:09:32.000000000,francishumes
0 days 00:12:47.000000000,tansenryua
0 days 00:13:13.000000000,TorchPelletier
0 days 00:13:47.000000000,davideades11n
0 days 00:16:52.000000000,DesdeFlorida
0 days 00:29:07.000000000,Thundergrips
0 days 00:29:52.000000000,Jarod23409143
0 days 00:35:21.000000000,JRknickolas
0 days 00:36:49.000000000,galleydiana5
0 days 00:37:46.000000000,TeamTrumpTeX
0 days 00:38:24.000000000,TeamTrumpTeX
0 days 01:25:46.000000000,ladydwall
0 days 01:41:56.000000000,odumechbueze1
0 days 01:53:25.000000000,donvrjr1
0 days 04:28:04.000000000,evollonian
0 days 00:06:52.000000000,KGHASKINS1
0 days 00:07:14.000000000,missme61510256
0 days 00:14:57.000000000,AmericasInPeril
0 days 00:15:27.000000000,The_Rambling1
0 days 00:19:07.000000000,SELLA1CRACK
0 days 00:19:52.000000000,saveusrepublic2
0 days 00:22:23.000000000,Thundergrips
0 days 00:23:49.000000000,Jarod23409143
0 days 00:30:07.000000000,galleydiana5
0 days 00:36:54.000000000,Scrufey21Me
0 days 00:38:18.000000000,charlottewiggs
0 days 00:39:12.000000000,lifestrials2
0 days 00:39:23.000000000,JenJustjen515
0 days 00:39:54.000000000,itsnebulaz
0 days 00:43:08.000000000,dayna__bennett
0 days 00:44:22.000000000,alwaystimothy
0 days 00:44:44.000000000,Lyle_Willis
0 days 00:58:00.000000000,TroyKotaSan
0 days 01:13:36.000000000,ladydwall
0 days 01:21:29.000000000,lulujoy6101
0 days 01:26:40.000000000,larrydye1952
0 days 01:36:29.000000000,mllnola
0 days 02:15:42.000000000,FatFatsigi
0 days 02:26:37.000000000,celetinoha
0 days 02:43:39.000000000,fat_joe92
0 days 02:50:17.000000000,Excal_Gray
0 days 02:54:53.000000000,michele_keiffer
0 days 02:56:49.000000000,DougWallysboy
0 days 03:07:58.000000000,JennyIzzle007
0 days 04:41:11.000000000,tina_starley
0 days 05:17:21.000000000,Sofia03336
0 days 00:00:27.000000000,Ironstar_K5
0 days 00:01:06.000000000,AJhappy2
0 days 00:01:44.000000000,uncleSaul1
0 days 00:04:28.000000000,RadicalStoic
0 days 00:05:36.000000000,crazyferret237
0 days 00:06:08.000000000,conny204
0 days 00:06:59.000000000,SaulusSedai
0 days 00:09:42.000000000,MUNNAUNICORN
0 days 00:11:08.000000000,ddc1168
0 days 00:11:21.000000000,JosephwLucas80
0 days 00:14:44.000000000,PLAGUEDDC5
0 days 00:17:37.000000000,MrsDutchTulip
0 days 00:19:53.000000000,rjimenez3940
0 days 00:22:28.000000000,5ikyu
0 days 00:28:35.000000000,DavidCConca
0 days 00:29:16.000000000,ptsd1471
0 days 00:35:02.000000000,arirangxx
0 days 00:35:50.000000000,PatrickOstler
0 days 00:41:50.000000000,jayizzo50
0 days 00:42:18.000000000,NurseOnThis
0 days 00:43:39.000000000,corwindesheim
0 days 00:45:57.000000000,ChidiebereEze9
0 days 00:48:01.000000000,HoraceMaye
0 days 00:51:06.000000000,EdMalchiodi
0 days 00:54:33.000000000,BlessingOkpiri
0 days 00:56:09.000000000,uwais_baba
0 days 00:57:07.000000000,rabbi_tech
0 days 00:58:29.000000000,ElizabethVlaho1
0 days 00:58:36.000000000,pedroma2712
0 days 01:02:49.000000000,LukeSlade2
0 days 01:04:31.000000000,GNdubisi
0 days 01:11:40.000000000,ParadoxClan001_
0 days 01:12:10.000000000,cbguy1100
0 days 01:12:25.000000000,FREE_THE_UK
0 days 01:21:18.000000000,KGHASKINS1
0 days 01:21:36.000000000,Sofia03336
0 days 01:46:18.000000000,Rixon_tk
0 days 02:05:10.000000000,National_Strike
0 days 02:10:13.000000000,nancyurbino
0 days 02:21:39.000000000,ReluctantlyP
0 days 02:25:35.000000000,mikon751
0 days 02:53:11.000000000,KingsleyAnah
0 days 03:08:13.000000000,MarshalPhipps
0 days 03:10:45.000000000,juliocv0951
0 days 03:38:01.000000000,LakewoodTR
0 days 03:44:55.000000000,ObinnaIbeawuch1
0 days 03:51:50.000000000,omanorji
0 days 03:53:32.000000000,HugaDream
0 days 04:09:27.000000000,JohnGaston21
0 days 04:22:12.000000000,bentimonsen
0 days 04:40:47.000000000,TheTwixtr
0 days 00:01:12.000000000,OwnOrFall
0 days 00:02:01.000000000,B_Green159
0 days 00:02:42.000000000,itsnebulaz
0 days 00:03:42.000000000,Persie__van
0 days 00:04:46.000000000,bego__02
0 days 00:05:03.000000000,KanadeForTruth
0 days 00:05:51.000000000,J9001776
0 days 00:05:51.000000000,barbhowehom
0 days 00:09:00.000000000,deezerdeezer
0 days 00:09:03.000000000,gobully
0 days 00:13:36.000000000,ptsd1471
0 days 00:16:14.000000000,mzarqsa
0 days 00:17:03.000000000,dodchi99
0 days 00:17:39.000000000,MrsDutchTulip
0 days 00:20:22.000000000,619Wrestling
0 days 00:23:28.000000000,TennesseeTexan
0 days 00:24:41.000000000,smbizshout
0 days 00:26:48.000000000,JakielMirka
0 days 00:27:24.000000000,CelticCross52
0 days 00:28:29.000000000,boboafat
0 days 00:28:48.000000000,jerryh0501
0 days 00:29:11.000000000,RobertDagley
0 days 00:29:52.000000000,crazyferret237
0 days 00:30:25.000000000,Chess_Facts
0 days 00:31:07.000000000,WWmorgan42
0 days 00:32:16.000000000,JoyfulAmbitions
0 days 00:35:16.000000000,SweetKolanut
0 days 00:35:17.000000000,Eltempest
0 days 00:36:08.000000000,RealMarySKelley
0 days 00:36:35.000000000,sunnydream22
0 days 00:36:38.000000000,604_9705
0 days 00:36:51.000000000,benklong061077
0 days 00:37:11.000000000,IfunnyDrafted
0 days 00:37:26.000000000,rockabillense
0 days 00:37:35.000000000,rbutler0519
0 days 00:43:32.000000000,ThomasB257
0 days 00:48:55.000000000,DearestTitan
0 days 00:49:26.000000000,lulach_cuardach
0 days 00:54:37.000000000,piratataragna
0 days 00:55:14.000000000,SaudiChrstian93
0 days 00:55:46.000000000,Cain_de_Madrid
0 days 00:56:42.000000000,grammybijou3
0 days 00:57:01.000000000,Janice43551
0 days 00:59:56.000000000,McCoygb
0 days 01:00:52.000000000,WenwenXue
0 days 01:02:31.000000000,SeanPor78114915
0 days 01:03:42.000000000,AustinDavon1
0 days 01:05:54.000000000,cunningtom
0 days 01:05:58.000000000,luka_light
0 days 01:07:40.000000000,janesmith57529
0 days 01:09:36.000000000,ladydwall
0 days 01:11:02.000000000,rickde
0 days 01:14:11.000000000,junipersage1
0 days 01:15:19.000000000,GideonSword7
0 days 01:16:42.000000000,Sofia03336
0 days 01:18:59.000000000,_raja_babu
0 days 01:20:32.000000000,LifeLibHappy
0 days 01:21:23.000000000,FabricePhilipp
0 days 01:22:31.000000000,completeinthree
0 days 01:28:09.000000000,ZIPPY4451
0 days 01:29:31.000000000,Too_hyphe4U
0 days 01:32:25.000000000,bostonoz
0 days 01:33:46.000000000,Apple_Xenon
0 days 01:33:54.000000000,gavinmmarino
0 days 01:39:17.000000000,Portland1975
0 days 01:42:14.000000000,visionvue
0 days 01:43:15.000000000,DkneuteSJU
0 days 01:52:30.000000000,mints1944
0 days 01:52:55.000000000,shaashtanga
0 days 01:54:46.000000000,IowaforHuckabee
0 days 01:55:32.000000000,Imagin3_dragons
0 days 01:55:37.000000000,Imagin3_dragons
0 days 01:55:51.000000000,blakelzr
0 days 01:58:41.000000000,BroodingPelican
0 days 02:02:15.000000000,gccq
0 days 02:03:35.000000000,Jeffrey74749980
0 days 02:04:22.000000000,imalilr
0 days 02:05:23.000000000,Wes_Kirkpatrick
0 days 02:06:11.000000000,sparklesgayrap
0 days 02:08:10.000000000,nvolino
0 days 02:16:00.000000000,Lamar_DavisFTW
0 days 02:16:19.000000000,jdplankton
0 days 02:16:50.000000000,PooberKitty
0 days 02:19:21.000000000,lenifillekes
0 days 02:21:12.000000000,JennyIzzle007
0 days 02:22:06.000000000,louissaidmeow
0 days 02:24:29.000000000,matthugrantham
0 days 02:24:43.000000000,Iron_Patriot76
0 days 02:27:46.000000000,nellsstar
0 days 02:27:59.000000000,EwnaVilae
0 days 02:30:06.000000000,kathyJezek
0 days 02:30:12.000000000,ashely_nunley
0 days 02:31:31.000000000,CharliSixx
0 days 02:35:41.000000000,Jackyal2077
0 days 02:36:51.000000000,mitacrazy
0 days 02:37:24.000000000,luke_hair17
0 days 02:37:38.000000000,LindaGarriss
0 days 02:37:43.000000000,amancango
0 days 02:39:55.000000000,ConradDrez
0 days 02:42:27.000000000,CaballeroOHara
0 days 02:43:47.000000000,jimmyCallahan7
0 days 02:46:26.000000000,Jeffsright
0 days 02:47:01.000000000,GovnForThePpl
0 days 02:47:46.000000000,carly_y
0 days 02:50:06.000000000,OrcunKipcak
0 days 02:51:53.000000000,Ananqmq
0 days 02:55:29.000000000,Recep_Avc0
0 days 02:57:59.000000000,StephenIvy3
0 days 02:59:53.000000000,alexgentry2001
0 days 03:02:15.000000000,vwk7
0 days 03:02:27.000000000,alphacreature1
0 days 03:02:30.000000000,MESTHATADE
0 days 03:06:01.000000000,kshw5678
0 days 03:08:32.000000000,jimmy_1722
0 days 03:09:20.000000000,mjohns12006iou
0 days 03:11:25.000000000,umehizuh73
0 days 03:13:38.000000000,Obumvictor1
0 days 03:15:11.000000000,JeffTwinsFan
0 days 03:15:54.000000000,darrelralph_DDR
0 days 03:16:15.000000000,aatmanjal
0 days 03:17:04.000000000,walterlopes2008
0 days 03:18:13.000000000,GetEverheal
0 days 03:19:52.000000000,jackbald
0 days 03:21:23.000000000,Adabiafra55
0 days 03:21:25.000000000,Postcodephoto
0 days 03:21:54.000000000,vjVisionQuest
0 days 03:22:17.000000000,Hermesdon
0 days 03:23:01.000000000,ChidiebereEze9
0 days 03:23:22.000000000,jonthenbrown
0 days 03:24:12.000000000,stephan96391239
0 days 03:26:30.000000000,Geminii2k
0 days 03:26:55.000000000,orbit_inertia
0 days 03:27:04.000000000,Jadyyy99
0 days 03:29:29.000000000,adamadozen
0 days 03:30:51.000000000,nwobinonso
0 days 03:33:58.000000000,Boom_Cheung
0 days 03:36:39.000000000,feedchick
0 days 03:36:58.000000000,stephen_ragan11
0 days 03:37:49.000000000,420amcoffee
0 days 03:38:40.000000000,omanorji
0 days 03:44:39.000000000,caseysbell
0 days 03:49:47.000000000,obi1chiboy
0 days 03:52:22.000000000,AllAmerican1126
0 days 03:53:03.000000000,deplorablejason
0 days 03:55:10.000000000,trixidoodlexx
0 days 03:59:32.000000000,ColtonBieker082
0 days 04:00:17.000000000,ggaby591
0 days 04:01:29.000000000,SamuelNnaji9
0 days 04:03:45.000000000,Jake_Pidcock
0 days 04:03:51.000000000,KomeitLL
0 days 04:06:56.000000000,irene_sybil
0 days 04:09:26.000000000,jessievickery86
0 days 04:13:35.000000000,jacklebg69
0 days 04:14:34.000000000,banks_joel
0 days 04:14:59.000000000,pucksup
0 days 04:16:05.000000000,TeddyTwitts71
0 days 04:16:38.000000000,Adross31
0 days 04:21:15.000000000,JParnell31
0 days 04:23:42.000000000,gelliott200311
0 days 04:25:14.000000000,collette8888
0 days 04:26:17.000000000,Wade_Matthews
0 days 04:27:35.000000000,eojracs
0 days 04:28:40.000000000,Kallllleee
0 days 04:31:13.000000000,deeEgyptianmusk
0 days 04:32:44.000000000,jparker1256
0 days 04:36:25.000000000,meactor1
0 days 04:37:04.000000000,tnted96
0 days 04:38:54.000000000,alexis_fowler34
0 days 04:41:03.000000000,mexicomining
0 days 04:44:58.000000000,andrester111
0 days 04:48:56.000000000,Dax_A_Lish
0 days 04:55:21.000000000,KatherineHepke
0 days 04:57:11.000000000,BraylanChumbley
0 days 05:00:27.000000000,CGummifera
0 days 05:02:49.000000000,DoreenRossetto
0 days 05:03:22.000000000,Graftedin2truth
0 days 05:06:37.000000000,SkippyManuel
0 days 05:09:02.000000000,ImRand__
0 days 05:10:49.000000000,Drifterzach01
0 days 05:13:30.000000000,Connor_Green16
0 days 00:09:50.000000000,blurrrr_
0 days 00:15:35.000000000,gezeitengang
0 days 00:16:24.000000000,itsFranco
0 days 00:25:07.000000000,RingStix
0 days 00:29:55.000000000,wrs1260
0 days 00:34:33.000000000,ValPacker
0 days 00:45:27.000000000,PLAGUEDDC5
0 days 00:54:09.000000000,kle81156
0 days 01:09:11.000000000,Farmeropinion
0 days 01:10:52.000000000,Augustus1683AD
0 days 01:12:40.000000000,padma_voice
0 days 01:19:00.000000000,ArHu3
0 days 01:39:53.000000000,lepeuplededroit
0 days 01:47:37.000000000,savieze
0 days 01:50:22.000000000,Ashutoshn11
0 days 01:58:29.000000000,HirayYashwant
0 days 02:24:02.000000000,Conserva1Desoto
0 days 02:25:51.000000000,Veerkumar6717
0 days 02:31:45.000000000,dwmarkmartin
0 days 03:16:43.000000000,NelsonWoldsen
0 days 03:22:31.000000000,SuverenTommy
0 days 00:00:33.000000000,jhsalley
0 days 00:01:40.000000000,PixelDust2
0 days 00:03:06.000000000,jeff_wise
0 days 00:03:15.000000000,ElisabeMath
0 days 00:12:43.000000000,Augustus1683AD
0 days 00:18:43.000000000,P4SP
0 days 00:20:12.000000000,Mike_Sand_Man
0 days 00:21:47.000000000,TheDrod214
0 days 00:22:16.000000000,WiseCat_11
0 days 00:23:30.000000000,meltedmarbles
0 days 00:28:43.000000000,AngryCitizen8
0 days 00:33:24.000000000,jizzi1
0 days 00:34:16.000000000,rachelkingmakeu
0 days 00:39:07.000000000,mllnola
0 days 00:40:26.000000000,JoanneTarpon07
0 days 00:43:54.000000000,Cate66
0 days 00:44:57.000000000,mpekarski61
0 days 00:47:21.000000000,BillGraff
0 days 00:54:08.000000000,aatmanjal
0 days 01:10:34.000000000,roqchrisy
0 days 01:18:21.000000000,IwanowDavid
0 days 01:25:39.000000000,nj_aspen
0 days 01:26:09.000000000,leigh_smeby
0 days 01:44:06.000000000,DuceSebastian
0 days 02:04:49.000000000,Metalworks4
0 days 02:15:07.000000000,faktotum69
0 days 02:35:09.000000000,juliocv0951
0 days 02:54:12.000000000,LKirup
0 days 03:46:32.000000000,ddc1168
0 days 00:00:29.000000000,avalanch_brkdwn
0 days 00:03:31.000000000,Sophie012075
0 days 00:14:14.000000000,RingStix
0 days 00:15:33.000000000,JohnHall75
0 days 00:57:28.000000000,BodyWithStrongM
0 days 01:04:39.000000000,GoykhmanAlla
0 days 01:11:12.000000000,LRbullies
0 days 01:33:49.000000000,PhyllisHart16
0 days 01:40:21.000000000,wutever26
0 days 01:58:41.000000000,SurrattPenny
0 days 02:20:22.000000000,Iron_Patriot76
0 days 04:20:51.000000000,bhayes2016
0 days 04:39:34.000000000,IsabeljangelesJ
0 days 04:41:17.000000000,Nelope_Cup
0 days 00:01:44.000000000,LeeksM
0 days 00:02:42.000000000,TennesseeTexan
0 days 00:03:15.000000000,realtortto
0 days 00:04:00.000000000,BelisaDavis
0 days 00:04:14.000000000,insidemarkets
0 days 00:07:26.000000000,SIeepyConscious
0 days 00:08:36.000000000,Sophie012075
0 days 00:10:07.000000000,nautica902
0 days 00:12:23.000000000,Chess_Facts
0 days 00:17:46.000000000,chrisrouthieaux
0 days 00:19:28.000000000,tradethecycles
0 days 00:21:28.000000000,Lyle_Willis
0 days 00:24:58.000000000,KGHASKINS1
0 days 00:28:14.000000000,SVcaVet
0 days 00:32:47.000000000,TrustedTrevor
0 days 00:39:25.000000000,digino69
0 days 00:47:11.000000000,raynesw
0 days 00:51:10.000000000,AZ49ersfan
0 days 00:56:00.000000000,veganvecoh
0 days 01:05:02.000000000,Sofia03336
0 days 01:20:45.000000000,SteveC_USA
0 days 01:38:15.000000000,Jeffsright
0 days 01:56:52.000000000,szucrm
0 days 02:09:56.000000000,jdmarie1
0 days 02:35:25.000000000,Bdmogul83
0 days 02:46:23.000000000,USATopGuns
0 days 02:47:24.000000000,mllnola
0 days 02:58:03.000000000,CreedRoc
0 days 03:01:18.000000000,JakielMirka
0 days 03:01:23.000000000,BruceGreenwell8
0 days 03:16:43.000000000,fjski3
0 days 03:50:20.000000000,Leckielaaadeeda
0 days 03:59:25.000000000,randomsweede
0 days 04:16:51.000000000,smithalamd
0 days 04:22:32.000000000,Graftedin2truth
0 days 04:37:17.000000000,saskamare
0 days 00:42:32.000000000,evapmhsobia
0 days 00:44:42.000000000,tamishaandrieu1
0 days 00:45:02.000000000,delia_lashawnda
0 days 00:49:01.000000000,pezoneneqxu
0 days 00:50:28.000000000,hendin_necole
0 days 00:50:55.000000000,grossdavis5761
0 days 00:52:27.000000000,leannaangel700
0 days 00:52:45.000000000,lorejordan1321
0 days 00:54:47.000000000,SashaAkiyama
0 days 00:55:02.000000000,marandaschneid5
0 days 00:56:50.000000000,Kalyvas2582
0 days 00:57:19.000000000,SteinkampLura
0 days 00:57:49.000000000,kenamullins3481
0 days 00:58:54.000000000,ashelymontaigu1
0 days 00:59:07.000000000,kasimoody2806
0 days 00:59:44.000000000,GhosnCarline
0 days 00:59:48.000000000,venettastartt21
0 days 00:59:52.000000000,roberto_trudie
0 days 00:59:52.000000000,priscillastar18
0 days 01:06:37.000000000,lesleecoquard22
0 days 01:07:25.000000000,SapiroAnnamaria
0 days 01:08:46.000000000,MechemAubrey
0 days 01:11:39.000000000,carlotta_hooper
0 days 01:22:01.000000000,joannabeard359
0 days 01:24:21.000000000,YenYenward1269
0 days 01:26:20.000000000,Hero_Gwen
0 days 01:31:12.000000000,zaidi24ujkor
0 days 01:31:54.000000000,WendySchmaus
0 days 01:32:38.000000000,tosha170qp
0 days 01:34:01.000000000,sendraedle
0 days 01:38:44.000000000,donovan_yolande
0 days 01:40:06.000000000,blausey1gw
0 days 01:41:01.000000000,jolenemurphy301
0 days 03:11:02.000000000,CourtneyLofnger
0 days 03:27:37.000000000,nedohzn
0 days 00:08:21.000000000,Most2hip
0 days 00:10:42.000000000,FatFatsigi
0 days 00:23:27.000000000,eclectelectric
0 days 00:35:49.000000000,veganvecoh
0 days 00:38:08.000000000,401_9163
0 days 00:47:37.000000000,Scrufey21Me
0 days 00:52:58.000000000,ElectionCarl
0 days 01:18:24.000000000,Donnawescott2
0 days 02:05:34.000000000,Livnltlv
0 days 02:37:15.000000000,AmericasInPeril
0 days 02:44:46.000000000,edtop654
0 days 02:51:19.000000000,ncsavdunk
0 days 02:57:25.000000000,deplorable_0
0 days 03:18:27.000000000,Ugly_Skull
0 days 00:07:08.000000000,wrs1260
0 days 00:07:12.000000000,BurnalSanders
0 days 00:10:35.000000000,bridgettlthomp
0 days 00:11:42.000000000,BN_Politik
0 days 00:12:41.000000000,AcroAman
0 days 00:17:26.000000000,JenJustjen515
0 days 00:22:33.000000000,jayizzo50
0 days 00:23:19.000000000,FredBarfield
0 days 00:30:11.000000000,Donnawescott2
0 days 00:30:34.000000000,joettajc68
0 days 00:35:13.000000000,Myszty2k
0 days 00:55:25.000000000,adamadozen
0 days 00:59:40.000000000,DianeBBennett1
0 days 01:21:06.000000000,thidatun60
0 days 01:53:19.000000000,kaleb_keeton
0 days 01:56:08.000000000,sibylfirst
0 days 02:02:08.000000000,nananw
0 days 02:03:30.000000000,waterjason
0 days 02:27:39.000000000,colavs2184
0 days 00:02:57.000000000,redladywalkon
0 days 00:07:58.000000000,JulieEveretts
0 days 00:09:34.000000000,Donnawescott2
0 days 00:12:41.000000000,mary44614
0 days 00:15:20.000000000,stern_oskar
0 days 00:16:38.000000000,TaylanSteiner
0 days 00:18:04.000000000,National_Strike
0 days 00:35:44.000000000,kthawkins8
0 days 00:45:52.000000000,JakielMirka
0 days 01:16:16.000000000,jizzi1
0 days 01:49:06.000000000,rickybobby90210
0 days 01:50:03.000000000,waterjason
0 days 01:51:13.000000000,subhash77niul
0 days 01:52:24.000000000,MikeJackson9701
0 days 02:10:25.000000000,AgentDeplorable
0 days 00:09:40.000000000,page_kimiko
0 days 00:12:26.000000000,Lawtronmatt
0 days 00:14:29.000000000,BezemerS
0 days 00:15:05.000000000,liszewsk
0 days 00:18:12.000000000,Hermesdon
0 days 00:24:49.000000000,I_am_B
0 days 00:32:19.000000000,UtfordringCOM
0 days 00:32:36.000000000,Tarkan291
0 days 00:34:16.000000000,Debhneal
0 days 00:35:51.000000000,Margare04323327
0 days 00:37:23.000000000,SaulusSedai
0 days 00:37:44.000000000,bar_ba_papa
0 days 00:40:19.000000000,Jake_Venger
0 days 00:41:23.000000000,JimmysModel3
0 days 00:42:21.000000000,j_PAUL2282
0 days 00:43:36.000000000,jnikas1_joanne
0 days 00:46:56.000000000,TennesseeTexan
0 days 00:47:24.000000000,marc_angel1
0 days 00:49:43.000000000,TimPoplawski
0 days 00:52:20.000000000,Gary6318
0 days 00:53:24.000000000,Bicohornet
0 days 00:58:38.000000000,DianeBBennett1
0 days 00:59:43.000000000,Kamcg13
0 days 01:00:52.000000000,francishumes
0 days 01:01:19.000000000,Cultureifyer
0 days 01:02:15.000000000,Penniwise796
0 days 01:04:10.000000000,tissueseller
0 days 01:04:52.000000000,krissynjohn
0 days 01:06:30.000000000,Medya126
0 days 01:09:04.000000000,SteveC_USA
0 days 01:10:07.000000000,crzydug
0 days 01:14:56.000000000,collette8888
0 days 01:17:36.000000000,miraclegers
0 days 01:26:28.000000000,Soganoff
0 days 01:29:24.000000000,jerryh0501
0 days 01:39:40.000000000,MikeJackson9701
0 days 01:42:40.000000000,chopanini
0 days 01:43:42.000000000,MDavidMorris2
0 days 01:54:02.000000000,BobbyfiferCarol
0 days 01:58:58.000000000,SwaneyKathy
0 days 02:02:42.000000000,GrammerSherry
0 days 02:05:01.000000000,jumpjet52
0 days 02:05:22.000000000,GrudenPolitics
0 days 02:09:34.000000000,DennisKulpa
0 days 02:09:34.000000000,smedlleybutler
